DATE,PRICE,STRIKE,IMPLIED VOL 1 MTH.,IMPLIED VOL 1 YR .,LIFE DAYS,OPEN INTEREST,U/LYING PRICE
01.02.2017,2.14,130,0.1666,0.2261,44,1915984,128.75
01.03.2017,3.35,140,0.1563,0.2343,51,1942509,139.79
01.04.2017,3.47,145,0.1674,0.2267,46,2141871,143.7
01.05.2017,4.6,145,0.2227,0.2191,46,1926707,146.58
01.06.2017,2.97,155,0.1588,0.2293,50,2216994,153.18
01.07.2017,4.1,145,0.2188,0.239,46,2273168,143.5
01.08.2017,4.75,150,0.25,0.2338,45,2105733,150.05
01.09.2017,5.28,165,0.2262,0.2516,49,2227652,164.05
01.10.2017,4.75,155,0.2143,0.2591,46,2639760,153.81
01.11.2017,6.9,165,0.3054,0.2567,44,2413915,166.89
01.12.2017,5.75,170,0.2002,0.255,49,2295205,171.05
01.01.2018,2.5,170,0.1974,0.2486,21,2082473,169.23
01.02.2018,5.32,170,0.3159,0.2608,43,1539607,167.78
01.03.2018,6.45,175,0.2487,0.2579,50,1740328,175
01.04.2018,8.52,165,0.3146,0.271,46,1641193,166.68
01.05.2018,5.58,170,0.3013,0.2277,45,1518723,169.1
01.06.2018,5.15,190,0.1696,0.217,49,1548271,190.24
01.07.2018,7.75,185,0.2116,0.2311,46,1540903,187.18
01.08.2018,6.31,200,0.1919,0.2216,51,1406388,201.5
01.09.2018,5.17,227.5,0.2261,0.2395,21,1610233,227.63
01.10.2018,9.15,225,0.2139,0.249,46,1583559,227.26
01.11.2018,11.5,220,0.3888,0.2812,50,1640323,222.22
01.12.2018,6.75,185,0.2552,0.2773,46,1899575,184.82
01.01.2019,5.48,157.5,0.3839,0.3124,18,1940023,157.74
01.02.2019,5.9,165,0.2301,0.2579,42,1629835,166.52
01.03.2019,5.05,175,0.1799,0.2351,48,1702520,174.97
01.04.2019,7.75,190,0.2281,0.239,46,1814250,191.24
01.05.2019,6.51,210,0.2019,0.2345,51,1694849,210.52
01.06.2019,6.7,175,0.3061,0.2708,46,1816600,173.3
01.07.2019,8.55,200,0.2406,0.2469,46,1513133,201.55
01.08.2019,7,210,0.2706,0.2488,50,1435994,208.43
01.09.2019,6.25,207.5,0.2719,0.2754,21,1530393,208.74
01.10.2019,8.8,225,0.2645,0.2715,45,1505256,224.59
01.11.2019,7.98,255,0.2029,0.2529,49,1584941,255.82
01.12.2019,8.1,265,0.2225,0.261,46,1611085,264.16
01.01.2020,6.6,292.5,0.2774,0.258,52,840426,293.65
01.02.2020,11.19,310,0.2757,0.274,46,1414183,308.66
01.03.2020,14.3,300,0.3706,0.2938,46,1353773,298.81
01.04.2020,20.6,240,0.6263,0.3833,44,1249058,240.91
01.05.2020,13.7,290,2.4027,0.3403,49,1132566,289.07
01.06.2020,13.4,320,0.9928,0.3156,46,1123626,321.85
01.07.2020,17.5,365,0.3069,0.3272,51,1115937,364.11
01.08.2020,22.03,435,0.3697,0.3389,46,1306262,435.75
01.09.2020,22.2,133.8,0.5087,0.433,45,2389473,134.18
01.10.2020,8.68,116.3,0.4484,0.4094,50,7165563,116.79
01.11.2020,5.59,110,0.4307,0.379,46,6865843,108.77
01.12.2020,6,122.5,0.3332,0.3654,45,6679029,122.72
01.01.2021,3.45,133,0.3552,0.3691,15,264824,132.69
01.02.2021,7,135,0.3848,0.4042,46,4601449,134.14
01.03.2021,6.05,127.5,0.3212,0.3567,46,5229069,127.79
01.04.2021,4.4,125,0.2609,0.3109,50,267738,123
01.05.2021,3.3,135,0.2333,0.3,46,4630718,132.54
01.06.2021,3.61,125,0.2308,0.2838,45,4953995,124.28
01.07.2021,5.95,135,0.2025,0.2844,50,4626852,137.27
01.08.2021,4.75,145,0.2109,0.2921,46,4319843,145.52
01.09.2021,3.75,155,0.2239,0.2896,44,4499842,152.51
01.10.2021,4.4,145,0.2471,0.2864,49,4197477,142.65
01.11.2021,3.94,150,0.2068,0.2829,46,3983795,148.96
01.12.2021,7.45,165,0.3222,0.3204,51,3990815,164.77
01.01.2022,8.25,180,0.2569,0.2932,46,3999560,182.01
01.02.2022,6.3,175,0.2658,0.3077,45,3359915,174.61
01.03.2022,6.4,165,0.3338,0.3243,44,3301050,163.2
01.04.2022,6.5,175,0.2452,0.3056,49,3326724,174.31
01.05.2022,6.57,160,0.3633,0.3262,46,3272419,157.96
01.06.2022,6.35,150,0.3468,0.3292,44,3371647,148.71
01.07.2022,6.86,140,0.3382,0.3347,49,275887,138.93
01.08.2022,7.11,160,0.2704,0.313,46,3288093,161.51
01.09.2022,6.4,160,0.3147,0.3237,50,3691730,157.96
01.10.2022,9.52,140,0.3889,0.3569,46,3554939,142.45
01.11.2022,7.65,150,0.3463,0.3487,45,3543836,150.65
01.12.2022,6.25,150,0.319,0.3391,50,3600437,148.31
,,,,,,,
